Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,All_Feedback,Sentiment
497,588,6,6,4,10,10,10,3,9,6 6 4 10 10 10 3 9,Neutral
498,609,10,9,4,4,1,5,9,10,10 9 4 4 1 5 9 10,Neutral
499,920,10,6,7,10,10,2,4,2,10 6 7 10 10 2 4 2,Neutral
500,370,9,4,7,10,1,10,2,7,9 4 7 10 1 10 2 7,Neutral
501,405,10,2,5,5,5,1,4,6,10 2 5 5 5 1 4 6,Neutral
502,779,10,8,6,3,8,8,7,8,10 8 6 3 8 8 7 8,Neutral
503,962,10,6,4,5,1,7,1,10,10 6 4 5 1 7 1 10,Neutral
504,268,10,6,5,9,9,1,8,6,10 6 5 9 9 1 8 6,Neutral
505,625,10,7,6,7,9,6,3,3,10 7 6 7 9 6 3 3,Neutral
506,217,8,9,8,3,8,5,5,5,8 9 8 3 8 5 5 5,Neutral
507,479,10,10,4,6,5,9,2,3,10 10 4 6 5 9 2 3,Neutral
508,500,9,5,8,4,2,2,5,1,9 5 8 4 2 2 5 1,Neutral
509,409,8,9,7,3,10,4,6,1,8 9 7 3 10 4 6 1,Neutral
510,546,7,7,5,1,9,8,1,1,7 7 5 1 9 8 1 1,Neutral
511,967,5,5,8,8,1,9,8,5,5 5 8 8 1 9 8 5,Neutral
512,343,8,4,7,1,10,8,2,6,8 4 7 1 10 8 2 6,Neutral
513,639,7,4,7,7,6,10,5,7,7 4 7 7 6 10 5 7,Neutral
514,402,6,8,6,9,4,8,5,7,6 8 6 9 4 8 5 7,Neutral
515,617,5,7,5,4,7,1,10,6,5 7 5 4 7 1 10 6,Neutral
516,349,6,8,8,2,9,9,2,8,6 8 8 2 9 9 2 8,Neutral
517,994,8,5,5,2,5,5,9,5,8 5 5 2 5 5 9 5,Neutral
518,279,5,10,7,1,4,4,9,4,5 10 7 1 4 4 9 4,Neutral
519,926,10,7,5,1,1,6,6,1,10 7 5 1 1 6 6 1,Neutral
520,816,10,8,5,9,2,7,9,3,10 8 5 9 2 7 9 3,Neutral
521,765,8,7,8,5,7,7,7,7,8 7 8 5 7 7 7 7,Neutral
522,160,10,6,5,4,2,10,4,7,10 6 5 4 2 10 4 7,Neutral
523,606,8,3,8,1,6,4,8,9,8 3 8 1 6 4 8 9,Neutral
524,602,5,3,6,2,8,10,3,1,5 3 6 2 8 10 3 1,Neutral
525,893,10,6,8,1,1,10,1,3,10 6 8 1 1 10 1 3,Neutral
526,810,9,6,7,3,5,9,10,5,9 6 7 3 5 9 10 5,Neutral
527,802,8,2,6,6,3,8,7,7,8 2 6 6 3 8 7 7,Neutral
528,162,6,2,5,2,10,2,8,8,6 2 5 2 10 2 8 8,Neutral
529,449,5,7,8,9,3,2,7,10,5 7 8 9 3 2 7 10,Neutral
530,463,7,8,7,8,1,4,4,1,7 8 7 8 1 4 4 1,Neutral
531,41,5,3,5,9,3,1,8,8,5 3 5 9 3 1 8 8,Neutral
532,838,6,3,6,8,7,1,8,8,6 3 6 8 7 1 8 8,Neutral
533,703,10,7,8,3,4,7,9,8,10 7 8 3 4 7 9 8,Neutral
534,490,9,2,6,10,9,8,2,4,9 2 6 10 9 8 2 4,Neutral
535,906,7,7,8,4,5,2,4,5,7 7 8 4 5 2 4 5,Neutral
536,174,7,3,6,7,10,10,2,3,7 3 6 7 10 10 2 3,Neutral
537,4,5,8,5,7,10,7,3,1,5 8 5 7 10 7 3 1,Neutral
538,161,6,7,8,3,5,10,6,4,6 7 8 3 5 10 6 4,Neutral
539,31,5,4,5,9,9,2,4,1,5 4 5 9 9 2 4 1,Neutral
540,623,6,4,6,6,10,10,3,9,6 4 6 6 10 10 3 9,Neutral
541,818,10,5,4,9,2,6,2,6,10 5 4 9 2 6 2 6,Neutral
542,60,5,6,5,3,1,7,5,3,5 6 5 3 1 7 5 3,Neutral
543,384,6,2,7,9,4,4,2,8,6 2 7 9 4 4 2 8,Neutral
544,971,7,6,7,4,6,6,7,9,7 6 7 4 6 6 7 9,Neutral
545,427,7,3,7,2,9,8,8,7,7 3 7 2 9 8 8 7,Neutral
546,431,10,9,4,3,3,9,4,1,10 9 4 3 3 9 4 1,Neutral
547,408,6,5,4,7,1,8,6,7,6 5 4 7 1 8 6 7,Neutral
548,577,10,7,4,10,7,2,5,1,10 7 4 10 7 2 5 1,Neutral
549,803,6,10,8,5,6,5,6,7,6 10 8 5 6 5 6 7,Neutral
550,273,9,3,7,1,5,3,8,4,9 3 7 1 5 3 8 4,Neutral
551,371,6,3,4,9,4,10,4,10,6 3 4 9 4 10 4 10,Neutral
552,999,6,7,8,8,9,9,9,5,6 7 8 8 9 9 9 5,Neutral
553,595,10,5,5,4,10,4,4,4,10 5 5 4 10 4 4 4,Neutral
554,63,8,8,7,4,4,4,8,2,8 8 7 4 4 4 8 2,Neutral
555,899,5,4,7,7,2,6,1,1,5 4 7 7 2 6 1 1,Neutral
556,0,7,4,8,2,1,4,8,3,7 4 8 2 1 4 8 3,Neutral
557,796,7,9,6,2,7,7,6,8,7 9 6 2 7 7 6 8,Neutral
558,181,10,10,4,2,1,5,3,1,10 10 4 2 1 5 3 1,Neutral
559,290,6,7,6,4,2,8,9,7,6 7 6 4 2 8 9 7,Neutral
560,373,6,4,8,10,5,3,10,10,6 4 8 10 5 3 10 10,Neutral
561,285,6,10,5,7,3,3,5,1,6 10 5 7 3 3 5 1,Neutral
562,882,6,3,4,1,7,5,4,2,6 3 4 1 7 5 4 2,Neutral
563,776,8,3,7,6,3,7,6,7,8 3 7 6 3 7 6 7,Neutral
564,935,10,9,7,2,8,2,1,2,10 9 7 2 8 2 1 2,Neutral
565,679,10,6,4,5,10,9,6,7,10 6 4 5 10 9 6 7,Neutral
566,102,7,4,6,3,5,7,5,5,7 4 6 3 5 7 5 5,Neutral
567,618,5,8,6,9,3,8,7,9,5 8 6 9 3 8 7 9,Neutral
568,607,8,4,4,10,10,8,3,7,8 4 4 10 10 8 3 7,Neutral
569,743,9,7,7,10,1,5,5,10,9 7 7 10 1 5 5 10,Neutral
570,682,8,5,8,9,2,10,3,4,8 5 8 9 2 10 3 4,Neutral
571,16,5,3,6,6,5,8,8,2,5 3 6 6 5 8 8 2,Neutral
572,969,8,6,8,10,2,1,3,2,8 6 8 10 2 1 3 2,Neutral
573,46,8,4,4,9,5,7,4,8,8 4 4 9 5 7 4 8,Neutral
574,706,6,8,7,9,8,6,4,1,6 8 7 9 8 6 4 1,Neutral
575,993,9,9,4,1,5,2,9,9,9 9 4 1 5 2 9 9,Neutral
576,508,10,6,5,8,8,5,7,10,10 6 5 8 8 5 7 10,Neutral
577,989,8,4,5,4,8,6,7,3,8 4 5 4 8 6 7 3,Neutral
578,133,10,4,7,3,5,4,4,5,10 4 7 3 5 4 4 5,Neutral
579,15,8,9,8,3,6,10,2,3,8 9 8 3 6 10 2 3,Neutral
580,78,10,9,6,8,10,7,7,8,10 9 6 8 10 7 7 8,Neutral
581,433,6,6,8,4,8,9,4,1,6 6 8 4 8 9 4 1,Neutral
582,784,7,7,4,3,7,8,6,10,7 7 4 3 7 8 6 10,Neutral
583,983,5,2,4,1,9,4,3,2,5 2 4 1 9 4 3 2,Neutral
584,197,9,3,5,9,8,2,4,10,9 3 5 9 8 2 4 10,Neutral
585,483,8,2,6,2,10,2,2,5,8 2 6 2 10 2 2 5,Neutral
586,376,5,5,5,8,8,4,6,10,5 5 5 8 8 4 6 10,Neutral
587,915,10,7,4,6,9,4,9,5,10 7 4 6 9 4 9 5,Neutral
588,210,6,5,7,9,5,1,2,4,6 5 7 9 5 1 2 4,Neutral
589,20,8,4,5,1,10,10,7,5,8 4 5 1 10 10 7 5,Neutral
590,425,5,9,8,1,10,8,10,10,5 9 8 1 10 8 10 10,Neutral
591,668,6,3,6,1,2,10,9,3,6 3 6 1 2 10 9 3,Neutral
592,54,7,2,5,1,5,3,1,3,7 2 5 1 5 3 1 3,Neutral
593,950,7,2,7,10,5,3,4,7,7 2 7 10 5 3 4 7,Neutral
594,782,6,7,4,2,2,1,3,8,6 7 4 2 2 1 3 8,Neutral
595,108,5,5,7,5,10,7,3,9,5 5 7 5 10 7 3 9,Neutral
596,400,9,4,5,5,8,10,6,10,9 4 5 5 8 10 6 10,Neutral
597,685,10,9,7,3,1,6,6,4,10 9 7 3 1 6 6 4,Neutral
598,673,9,3,4,4,7,9,8,4,9 3 4 4 7 9 8 4,Neutral
599,198,6,7,7,7,3,5,4,3,6 7 7 7 3 5 4 3,Neutral
600,14,5,5,8,9,7,5,2,1,5 5 8 9 7 5 2 1,Neutral
601,172,6,5,8,3,4,3,10,3,6 5 8 3 4 3 10 3,Neutral
602,359,5,6,7,6,9,5,1,5,5 6 7 6 9 5 1 5,Neutral
603,714,10,5,5,5,7,5,7,9,10 5 5 5 7 5 7 9,Neutral
604,785,7,6,7,1,7,5,5,9,7 6 7 1 7 5 5 9,Neutral
605,865,8,4,6,2,7,5,2,7,8 4 6 2 7 5 2 7,Neutral
606,662,10,6,4,5,1,9,6,3,10 6 4 5 1 9 6 3,Neutral
607,513,9,10,7,7,9,2,10,1,9 10 7 7 9 2 10 1,Neutral
608,722,7,10,5,5,4,9,6,7,7 10 5 5 4 9 6 7,Neutral
609,8,6,7,6,10,6,9,9,10,6 7 6 10 6 9 9 10,Neutral
610,873,10,10,4,5,9,10,2,5,10 10 4 5 9 10 2 5,Neutral
611,684,10,3,7,4,4,5,1,10,10 3 7 4 4 5 1 10,Neutral
612,73,7,2,5,6,3,1,1,4,7 2 5 6 3 1 1 4,Neutral
613,900,9,8,5,8,4,6,9,7,9 8 5 8 4 6 9 7,Neutral
614,933,6,9,4,8,7,10,3,5,6 9 4 8 7 10 3 5,Neutral
615,634,6,7,6,6,1,6,3,8,6 7 6 6 1 6 3 8,Neutral
616,835,8,2,7,8,3,4,3,4,8 2 7 8 3 4 3 4,Neutral
617,422,9,8,4,4,8,3,4,10,9 8 4 4 8 3 4 10,Neutral
618,235,6,2,8,8,6,3,3,1,6 2 8 8 6 3 3 1,Neutral
619,286,10,3,7,10,8,8,4,9,10 3 7 10 8 8 4 9,Neutral
620,129,7,3,4,9,1,4,4,9,7 3 4 9 1 4 4 9,Neutral
621,443,7,9,8,2,4,5,1,5,7 9 8 2 4 5 1 5,Neutral
622,301,10,7,7,4,3,4,9,2,10 7 7 4 3 4 9 2,Neutral
623,532,10,2,4,2,2,6,10,9,10 2 4 2 2 6 10 9,Neutral
624,64,6,2,8,1,8,4,8,4,6 2 8 1 8 4 8 4,Neutral
625,860,10,8,4,3,7,1,4,5,10 8 4 3 7 1 4 5,Neutral
626,559,8,4,4,6,5,5,1,7,8 4 4 6 5 5 1 7,Neutral
627,311,7,5,6,8,4,9,8,9,7 5 6 8 4 9 8 9,Neutral
628,32,9,3,7,7,6,1,9,2,9 3 7 7 6 1 9 2,Neutral
629,296,10,7,4,2,2,10,10,8,10 7 4 2 2 10 10 8,Neutral
630,419,10,2,5,8,5,3,3,10,10 2 5 8 5 3 3 10,Neutral
631,83,10,6,6,1,8,1,3,9,10 6 6 1 8 1 3 9,Neutral
632,594,7,2,7,6,7,2,3,6,7 2 7 6 7 2 3 6,Neutral
633,501,5,2,8,4,7,6,10,4,5 2 8 4 7 6 10 4,Neutral
634,411,8,4,4,4,8,4,3,1,8 4 4 4 8 4 3 1,Neutral
635,824,10,7,7,9,4,9,9,8,10 7 7 9 4 9 9 8,Neutral
636,585,7,6,8,2,4,7,10,9,7 6 8 2 4 7 10 9,Neutral
637,848,9,9,6,1,9,2,8,6,9 9 6 1 9 2 8 6,Neutral
638,299,10,8,5,5,4,3,1,9,10 8 5 5 4 3 1 9,Neutral
639,107,9,4,8,6,10,4,5,9,9 4 8 6 10 4 5 9,Neutral
640,119,9,10,5,1,9,6,7,6,9 10 5 1 9 6 7 6,Neutral
641,335,5,3,4,2,8,4,7,6,5 3 4 2 8 4 7 6,Neutral
642,557,5,5,8,2,4,10,6,1,5 5 8 2 4 10 6 1,Neutral
643,113,5,6,7,1,10,6,4,7,5 6 7 1 10 6 4 7,Neutral
644,281,5,6,6,3,4,1,1,1,5 6 6 3 4 1 1 1,Neutral
645,836,9,3,4,6,6,3,2,7,9 3 4 6 6 3 2 7,Neutral
646,426,9,8,7,8,10,6,9,8,9 8 7 8 10 6 9 8,Neutral
647,42,8,2,4,6,6,7,3,1,8 2 4 6 6 7 3 1,Neutral
648,567,9,3,8,1,4,9,10,9,9 3 8 1 4 9 10 9,Neutral
649,589,5,8,7,5,6,7,8,9,5 8 7 5 6 7 8 9,Neutral
650,187,5,5,6,2,6,1,8,5,5 5 6 2 6 1 8 5,Neutral
651,615,5,6,7,9,1,1,1,5,5 6 7 9 1 1 1 5,Neutral
652,556,9,9,5,5,1,3,6,10,9 9 5 5 1 3 6 10,Neutral
653,3,9,6,5,9,10,5,5,4,9 6 5 9 10 5 5 4,Neutral
654,667,9,9,6,2,1,3,10,2,9 9 6 2 1 3 10 2,Neutral
655,234,7,2,4,5,1,8,7,2,7 2 4 5 1 8 7 2,Neutral
656,96,6,6,5,10,8,10,5,2,6 6 5 10 8 10 5 2,Neutral
657,691,7,7,8,8,5,4,8,2,7 7 8 8 5 4 8 2,Neutral
658,269,9,10,6,10,10,1,9,10,9 10 6 10 10 1 9 10,Neutral
659,566,8,10,6,10,7,6,6,1,8 10 6 10 7 6 6 1,Neutral
660,985,5,5,4,8,7,6,7,3,5 5 4 8 7 6 7 3,Neutral
661,437,7,2,6,7,5,8,1,8,7 2 6 7 5 8 1 8,Neutral
662,200,8,4,8,6,8,4,7,1,8 4 8 6 8 4 7 1,Neutral
663,291,10,3,7,8,2,10,3,3,10 3 7 8 2 10 3 3,Neutral
664,612,8,9,8,7,1,2,8,4,8 9 8 7 1 2 8 4,Neutral
665,448,6,7,7,9,2,9,2,5,6 7 7 9 2 9 2 5,Neutral
666,439,6,8,7,7,7,4,5,4,6 8 7 7 7 4 5 4,Neutral
667,573,5,5,5,8,8,9,8,2,5 5 5 8 8 9 8 2,Neutral
668,7,5,8,5,6,2,10,4,8,5 8 5 6 2 10 4 8,Neutral
669,725,5,10,8,4,3,5,1,6,5 10 8 4 3 5 1 6,Neutral
670,50,9,8,6,7,1,6,7,4,9 8 6 7 1 6 7 4,Neutral
671,423,7,9,5,10,10,7,7,3,7 9 5 10 10 7 7 3,Neutral
672,140,7,10,6,8,6,10,9,6,7 10 6 8 6 10 9 6,Neutral
673,135,8,9,7,3,6,10,2,9,8 9 7 3 6 10 2 9,Neutral
674,786,5,4,7,5,5,6,7,1,5 4 7 5 5 6 7 1,Neutral
675,601,8,9,4,5,4,3,1,10,8 9 4 5 4 3 1 10,Neutral
676,493,9,4,4,9,4,3,6,7,9 4 4 9 4 3 6 7,Neutral
677,553,7,2,4,7,3,5,1,3,7 2 4 7 3 5 1 3,Neutral
678,27,7,3,5,5,5,1,8,6,7 3 5 5 5 1 8 6,Neutral
679,257,8,5,6,4,4,1,5,4,8 5 6 4 4 1 5 4,Neutral
680,225,10,4,5,9,3,6,9,4,10 4 5 9 3 6 9 4,Neutral
681,788,6,5,6,3,10,4,3,8,6 5 6 3 10 4 3 8,Neutral
682,37,8,9,5,3,4,3,5,2,8 9 5 3 4 3 5 2,Neutral
683,170,5,10,7,2,8,5,9,5,5 10 7 2 8 5 9 5,Neutral
684,528,9,2,5,2,6,5,1,6,9 2 5 2 6 5 1 6,Neutral
685,600,7,8,6,10,6,7,7,6,7 8 6 10 6 7 7 6,Neutral
686,655,7,8,5,4,1,6,6,8,7 8 5 4 1 6 6 8,Neutral
687,74,8,8,6,1,2,5,2,6,8 8 6 1 2 5 2 6,Neutral
688,505,9,6,8,5,8,4,7,6,9 6 8 5 8 4 7 6,Neutral
689,377,5,5,7,3,9,6,1,4,5 5 7 3 9 6 1 4,Neutral
690,808,8,6,4,5,1,8,8,3,8 6 4 5 1 8 8 3,Neutral
691,366,9,9,8,2,1,10,5,2,9 9 8 2 1 10 5 2,Neutral
692,238,8,7,5,10,10,9,7,10,8 7 5 10 10 9 7 10,Neutral
693,255,9,10,7,10,3,2,7,8,9 10 7 10 3 2 7 8,Neutral
694,123,10,2,4,5,9,8,3,5,10 2 4 5 9 8 3 5,Neutral
695,663,6,2,8,2,5,7,5,7,6 2 8 2 5 7 5 7,Neutral
696,876,6,7,4,4,9,2,5,9,6 7 4 4 9 2 5 9,Neutral
697,690,5,10,8,4,2,7,9,6,5 10 8 4 2 7 9 6,Neutral
698,309,5,8,4,9,2,1,4,5,5 8 4 9 2 1 4 5,Neutral
699,693,7,9,8,1,5,10,3,7,7 9 8 1 5 10 3 7,Neutral
700,226,7,6,8,8,8,5,8,8,7 6 8 8 8 5 8 8,Neutral
701,951,10,10,7,10,5,9,7,1,10 10 7 10 5 9 7 1,Neutral
702,260,9,3,7,4,7,2,8,3,9 3 7 4 7 2 8 3,Neutral
703,243,9,8,8,8,4,10,8,9,9 8 8 8 4 10 8 9,Neutral
704,222,5,4,4,2,7,9,5,3,5 4 4 2 7 9 5 3,Neutral
705,314,5,10,6,8,6,6,10,4,5 10 6 8 6 6 10 4,Neutral
706,229,7,6,8,2,2,10,8,8,7 6 8 2 2 10 8 8,Neutral
707,85,5,6,8,9,3,4,4,4,5 6 8 9 3 4 4 4,Neutral
708,76,8,9,8,6,3,10,7,2,8 9 8 6 3 10 7 2,Neutral
709,887,6,9,5,8,9,7,6,2,6 9 5 8 9 7 6 2,Neutral
710,582,8,4,7,8,1,5,9,3,8 4 7 8 1 5 9 3,Neutral
711,674,8,5,6,8,7,10,2,7,8 5 6 8 7 10 2 7,Neutral
712,986,7,2,6,2,4,7,10,7,7 2 6 2 4 7 10 7,Neutral
713,511,8,4,4,5,2,10,10,6,8 4 4 5 2 10 10 6,Neutral
714,879,6,10,5,10,9,5,5,4,6 10 5 10 9 5 5 4,Neutral
715,401,8,10,7,2,8,10,8,9,8 10 7 2 8 10 8 9,Neutral
716,514,6,6,7,10,7,7,6,3,6 6 7 10 7 7 6 3,Neutral
717,750,10,3,8,1,5,1,3,5,10 3 8 1 5 1 3 5,Neutral
718,156,7,4,7,9,10,8,5,8,7 4 7 9 10 8 5 8,Neutral
719,775,5,6,7,2,5,4,1,4,5 6 7 2 5 4 1 4,Neutral
720,329,9,8,8,5,3,3,10,8,9 8 8 5 3 3 10 8,Neutral
721,467,8,10,5,7,7,1,3,6,8 10 5 7 7 1 3 6,Neutral
722,178,7,7,4,7,1,2,1,2,7 7 4 7 1 2 1 2,Neutral
723,549,5,3,7,6,8,8,5,5,5 3 7 6 8 8 5 5,Neutral
724,453,8,4,4,4,2,8,1,4,8 4 4 4 2 8 1 4,Neutral
725,307,6,9,5,1,6,5,3,5,6 9 5 1 6 5 3 5,Neutral
726,472,6,8,7,7,9,9,2,3,6 8 7 7 9 9 2 3,Neutral
727,392,7,7,4,9,7,10,8,4,7 7 4 9 7 10 8 4,Neutral
728,65,6,4,4,6,3,10,8,3,6 4 4 6 3 10 8 3,Neutral
729,575,9,4,7,7,1,1,5,1,9 4 7 7 1 1 5 1,Neutral
730,855,8,3,6,4,1,1,9,7,8 3 6 4 1 1 9 7,Neutral
731,791,5,9,4,4,1,4,10,9,5 9 4 4 1 4 10 9,Neutral
732,391,5,3,7,6,7,6,9,4,5 3 7 6 7 6 9 4,Neutral
733,973,6,3,4,6,4,6,6,9,6 3 4 6 4 6 6 9,Neutral
734,828,8,3,5,2,9,5,6,3,8 3 5 2 9 5 6 3,Neutral
735,247,6,9,6,5,2,2,3,7,6 9 6 5 2 2 3 7,Neutral
736,412,9,2,5,8,7,2,10,4,9 2 5 8 7 2 10 4,Neutral
737,67,7,9,4,3,9,1,1,2,7 9 4 3 9 1 1 2,Neutral
738,289,5,2,5,8,9,2,7,2,5 2 5 8 9 2 7 2,Neutral
739,399,10,6,4,8,6,5,10,4,10 6 4 8 6 5 10 4,Neutral
740,138,8,5,8,8,10,4,2,6,8 5 8 8 10 4 2 6,Neutral
741,537,10,6,4,9,9,5,7,5,10 6 4 9 9 5 7 5,Neutral
742,265,5,9,7,6,5,6,5,3,5 9 7 6 5 6 5 3,Neutral
743,724,5,2,6,1,7,3,3,1,5 2 6 1 7 3 3 1,Neutral
744,653,5,6,5,6,6,3,9,2,5 6 5 6 6 3 9 2,Neutral
745,318,6,8,5,10,6,7,10,8,6 8 5 10 6 7 10 8,Neutral
746,232,6,8,5,5,1,1,7,8,6 8 5 5 1 1 7 8,Neutral
747,21,9,7,5,3,6,6,1,6,9 7 5 3 6 6 1 6,Neutral
748,998,9,7,5,1,2,2,1,10,9 7 5 1 2 2 1 10,Neutral
