Unnamed: 0,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,All_Feedback,Sentiment
749,694,9,8,8,10,7,7,7,2,9 8 8 10 7 7 7 2,Neutral
750,927,6,2,6,2,10,3,6,4,6 2 6 2 10 3 6 4,Neutral
751,348,7,9,5,6,5,5,8,6,7 9 5 6 5 5 8 6,Neutral
752,968,6,7,6,3,8,1,9,3,6 7 6 3 8 1 9 3,Neutral
753,992,10,6,4,3,8,6,10,3,10 6 4 3 8 6 10 3,Neutral
754,764,9,3,7,6,3,8,10,2,9 3 7 6 3 8 10 2,Neutral
755,587,5,4,8,2,2,2,4,10,5 4 8 2 2 2 4 10,Neutral
756,944,10,8,6,8,8,7,9,6,10 8 6 8 8 7 9 6,Neutral
757,239,5,10,4,3,2,7,4,4,5 10 4 3 2 7 4 4,Neutral
758,886,7,7,5,5,10,1,9,9,7 7 5 5 10 1 9 9,Neutral
759,23,9,7,4,2,1,2,9,3,9 7 4 2 1 2 9 3,Neutral
760,458,6,2,4,6,6,10,4,1,6 2 4 6 6 10 4 1,Neutral
761,822,6,2,7,1,5,4,1,10,6 2 7 1 5 4 1 10,Neutral
762,413,7,10,4,2,3,1,10,1,7 10 4 2 3 1 10 1,Neutral
763,563,7,4,8,8,7,3,3,10,7 4 8 8 7 3 3 10,Neutral
764,331,8,8,7,5,10,4,7,5,8 8 7 5 10 4 7 5,Neutral
765,434,7,7,7,6,1,8,9,6,7 7 7 6 1 8 9 6,Neutral
766,456,10,4,8,6,5,1,10,1,10 4 8 6 5 1 10 1,Neutral
767,430,9,6,4,9,8,6,4,3,9 6 4 9 8 6 4 3,Neutral
768,896,6,8,7,5,4,4,5,5,6 8 7 5 4 4 5 5,Neutral
769,451,9,3,6,10,7,8,9,10,9 3 6 10 7 8 9 10,Neutral
770,477,5,2,5,6,10,6,10,8,5 2 5 6 10 6 10 8,Neutral
771,9,7,5,4,5,1,3,5,6,7 5 4 5 1 3 5 6,Neutral
772,325,7,5,7,6,1,5,8,6,7 5 7 6 1 5 8 6,Neutral
773,812,9,5,4,4,2,4,2,6,9 5 4 4 2 4 2 6,Neutral
774,727,7,2,6,4,2,10,9,5,7 2 6 4 2 10 9 5,Neutral
775,928,6,7,6,9,4,8,5,8,6 7 6 9 4 8 5 8,Neutral
776,134,9,9,7,4,7,10,8,3,9 9 7 4 7 10 8 3,Neutral
777,819,6,7,8,8,9,10,2,2,6 7 8 8 9 10 2 2,Neutral
778,230,7,2,8,2,6,1,9,2,7 2 8 2 6 1 9 2,Neutral
779,520,9,3,5,6,7,10,10,3,9 3 5 6 7 10 10 3,Neutral
780,326,7,10,8,8,6,4,9,7,7 10 8 8 6 4 9 7,Neutral
781,142,6,8,4,10,8,5,8,6,6 8 4 10 8 5 8 6,Neutral
782,491,5,4,8,6,1,3,4,4,5 4 8 6 1 3 4 4,Neutral
783,379,7,5,6,2,9,7,3,10,7 5 6 2 9 7 3 10,Neutral
784,465,5,2,8,8,6,8,2,4,5 2 8 8 6 8 2 4,Neutral
785,756,6,7,7,3,2,6,9,7,6 7 7 3 2 6 9 7,Neutral
786,347,6,8,7,3,5,1,2,8,6 8 7 3 5 1 2 8,Neutral
787,237,10,4,5,8,7,8,2,8,10 4 5 8 7 8 2 8,Neutral
788,642,5,7,6,8,9,6,6,7,5 7 6 8 9 6 6 7,Neutral
789,506,9,7,4,1,5,7,5,1,9 7 4 1 5 7 5 1,Neutral
790,646,7,8,5,4,7,8,8,8,7 8 5 4 7 8 8 8,Neutral
791,382,10,10,7,5,2,3,6,3,10 10 7 5 2 3 6 3,Neutral
792,256,6,7,4,5,9,8,6,5,6 7 4 5 9 8 6 5,Neutral
793,327,8,8,5,10,2,1,10,5,8 8 5 10 2 1 10 5,Neutral
794,624,7,3,7,10,2,1,8,8,7 3 7 10 2 1 8 8,Neutral
795,155,8,8,8,10,3,9,7,3,8 8 8 10 3 9 7 3,Neutral
796,578,8,10,7,4,5,8,7,6,8 10 7 4 5 8 7 6,Neutral
797,640,10,9,4,10,2,4,3,1,10 9 4 10 2 4 3 1,Neutral
798,997,9,8,8,6,8,3,3,10,9 8 8 6 8 3 3 10,Neutral
799,242,7,9,5,4,5,9,1,4,7 9 5 4 5 9 1 4,Neutral
800,344,7,6,8,9,8,3,8,5,7 6 8 9 8 3 8 5,Neutral
801,699,9,5,4,8,4,2,2,8,9 5 4 8 4 2 2 8,Neutral
802,77,9,4,5,9,2,1,5,10,9 4 5 9 2 1 5 10,Neutral
803,821,8,9,5,5,8,9,4,9,8 9 5 5 8 9 4 9,Neutral
804,903,9,8,8,8,4,8,4,1,9 8 8 8 4 8 4 1,Neutral
805,540,9,10,7,3,2,4,4,5,9 10 7 3 2 4 4 5,Neutral
806,596,5,8,7,7,1,2,10,3,5 8 7 7 1 2 10 3,Neutral
807,169,8,2,6,3,3,6,9,3,8 2 6 3 3 6 9 3,Neutral
808,526,9,5,5,5,2,6,4,9,9 5 5 5 2 6 4 9,Neutral
809,361,7,2,6,4,5,7,8,3,7 2 6 4 5 7 8 3,Neutral
810,917,8,6,5,3,7,5,4,8,8 6 5 3 7 5 4 8,Neutral
811,342,5,9,8,1,9,8,7,10,5 9 8 1 9 8 7 10,Neutral
812,599,5,2,4,8,4,8,9,5,5 2 4 8 4 8 9 5,Neutral
813,875,5,4,7,3,5,6,4,5,5 4 7 3 5 6 4 5,Neutral
814,745,5,9,5,10,8,2,9,1,5 9 5 10 8 2 9 1,Neutral
815,131,9,4,8,2,7,5,2,10,9 4 8 2 7 5 2 10,Neutral
816,143,6,6,7,8,10,3,3,9,6 6 7 8 10 3 3 9,Neutral
817,666,10,5,6,8,1,2,7,7,10 5 6 8 1 2 7 7,Neutral
818,104,8,5,4,2,7,9,4,4,8 5 4 2 7 9 4 4,Neutral
819,964,8,5,5,3,10,5,5,3,8 5 5 3 10 5 5 3,Neutral
820,208,8,7,5,7,2,3,2,8,8 7 5 7 2 3 2 8,Neutral
821,774,7,10,5,4,6,10,9,6,7 10 5 4 6 10 9 6,Neutral
822,346,10,7,4,9,3,2,10,8,10 7 4 9 3 2 10 8,Neutral
823,97,7,8,7,9,6,3,10,7,7 8 7 9 6 3 10 7,Neutral
824,306,9,10,4,1,3,3,2,5,9 10 4 1 3 3 2 5,Neutral
825,18,9,6,6,1,5,8,4,10,9 6 6 1 5 8 4 10,Neutral
826,284,5,7,6,3,10,3,8,6,5 7 6 3 10 3 8 6,Neutral
827,173,5,7,5,10,10,10,3,10,5 7 5 10 10 10 3 10,Neutral
828,558,7,9,5,5,9,7,3,5,7 9 5 5 9 7 3 5,Neutral
829,51,7,2,6,2,8,2,10,2,7 2 6 2 8 2 10 2,Neutral
830,357,5,8,7,5,4,1,8,8,5 8 7 5 4 1 8 8,Neutral
831,692,8,8,6,9,5,8,7,10,8 8 6 9 5 8 7 10,Neutral
832,26,8,2,6,10,9,9,4,5,8 2 6 10 9 9 4 5,Neutral
833,386,9,5,5,4,6,5,7,7,9 5 5 4 6 5 7 7,Neutral
834,287,5,9,5,5,10,8,4,10,5 9 5 5 10 8 4 10,Neutral
835,974,8,10,4,2,4,9,8,7,8 10 4 2 4 9 8 7,Neutral
836,683,6,9,4,8,5,5,1,10,6 9 4 8 5 5 1 10,Neutral
837,374,6,9,4,6,2,6,7,8,6 9 4 6 2 6 7 8,Neutral
838,278,10,8,7,8,6,7,8,1,10 8 7 8 6 7 8 1,Neutral
839,367,10,4,8,3,3,9,5,7,10 4 8 3 3 9 5 7,Neutral
840,800,7,4,5,2,1,6,3,9,7 4 5 2 1 6 3 9,Neutral
841,11,9,5,6,8,5,6,7,7,9 5 6 8 5 6 7 7,Neutral
842,310,5,8,5,9,4,4,9,10,5 8 5 9 4 4 9 10,Neutral
843,910,5,8,7,10,8,2,4,8,5 8 7 10 8 2 4 8,Neutral
844,440,5,7,8,9,7,1,8,10,5 7 8 9 7 1 8 10,Neutral
845,441,7,8,5,3,1,8,6,8,7 8 5 3 1 8 6 8,Neutral
846,146,8,7,5,6,9,2,9,10,8 7 5 6 9 2 9 10,Neutral
847,614,8,2,6,7,8,6,6,5,8 2 6 7 8 6 6 5,Neutral
848,262,10,5,4,9,6,9,9,3,10 5 4 9 6 9 9 3,Neutral
849,34,9,7,8,9,8,2,8,9,9 7 8 9 8 2 8 9,Neutral
850,407,9,8,8,6,2,9,6,4,9 8 8 6 2 9 6 4,Neutral
851,564,5,10,5,6,8,5,3,1,5 10 5 6 8 5 3 1,Neutral
852,538,8,7,4,6,10,5,2,9,8 7 4 6 10 5 2 9,Neutral
853,748,5,8,6,1,10,2,4,9,5 8 6 1 10 2 4 9,Neutral
854,675,8,7,8,9,8,6,2,8,8 7 8 9 8 6 2 8,Neutral
855,224,10,7,7,6,2,1,7,9,10 7 7 6 2 1 7 9,Neutral
856,10,8,3,7,4,3,6,4,1,8 3 7 4 3 6 4 1,Neutral
857,708,5,3,5,4,5,9,6,4,5 3 5 4 5 9 6 4,Neutral
858,636,7,3,6,9,5,4,6,3,7 3 6 9 5 4 6 3,Neutral
859,218,7,8,4,4,1,4,6,4,7 8 4 4 1 4 6 4,Neutral
860,193,5,9,4,6,5,7,1,9,5 9 4 6 5 7 1 9,Neutral
861,106,6,6,5,8,3,1,9,7,6 6 5 8 3 1 9 7,Neutral
862,834,8,2,7,4,1,8,9,2,8 2 7 4 1 8 9 2,Neutral
863,597,5,4,8,4,8,7,3,4,5 4 8 4 8 7 3 4,Neutral
864,45,8,5,6,1,5,9,2,9,8 5 6 1 5 9 2 9,Neutral
865,264,5,2,4,4,7,6,4,1,5 2 4 4 7 6 4 1,Neutral
866,219,10,4,5,7,9,10,8,3,10 4 5 7 9 10 8 3,Neutral
867,249,10,2,5,6,8,1,8,9,10 2 5 6 8 1 8 9,Neutral
868,507,9,2,6,2,7,9,7,9,9 2 6 2 7 9 7 9,Neutral
869,383,10,10,8,10,4,9,3,10,10 10 8 10 4 9 3 10,Neutral
870,631,10,8,5,3,9,9,8,3,10 8 5 3 9 9 8 3,Neutral
871,502,6,3,5,1,8,4,7,8,6 3 5 1 8 4 7 8,Neutral
872,792,10,2,6,7,7,5,6,9,10 2 6 7 7 5 6 9,Neutral
873,271,8,10,6,5,7,10,10,2,8 10 6 5 7 10 10 2,Neutral
874,194,6,3,5,4,1,10,8,3,6 3 5 4 1 10 8 3,Neutral
875,937,8,8,4,10,1,5,9,3,8 8 4 10 1 5 9 3,Neutral
876,726,6,4,4,7,7,3,6,4,6 4 4 7 7 3 6 4,Neutral
877,339,6,10,5,9,4,3,6,5,6 10 5 9 4 3 6 5,Neutral
878,841,8,9,8,3,4,4,7,1,8 9 8 3 4 4 7 1,Neutral
879,874,9,7,6,9,6,1,6,3,9 7 6 9 6 1 6 3,Neutral
880,214,6,6,4,3,1,3,4,6,6 6 4 3 1 3 4 6,Neutral
881,924,9,10,5,5,6,4,1,8,9 10 5 5 6 4 1 8,Neutral
882,203,8,7,8,9,4,10,8,10,8 7 8 9 4 10 8 10,Neutral
883,629,8,3,7,4,4,8,1,10,8 3 7 4 4 8 1 10,Neutral
884,354,6,3,7,10,1,1,10,6,6 3 7 10 1 1 10 6,Neutral
885,857,9,8,6,5,7,8,1,9,9 8 6 5 7 8 1 9,Neutral
886,424,5,3,7,3,8,6,5,7,5 3 7 3 8 6 5 7,Neutral
887,872,6,10,8,8,2,2,1,4,6 10 8 8 2 2 1 4,Neutral
888,116,8,5,6,3,5,3,1,9,8 5 6 3 5 3 1 9,Neutral
889,308,9,10,7,10,3,2,10,9,9 10 7 10 3 2 10 9,Neutral
890,698,5,9,6,3,6,9,9,9,5 9 6 3 6 9 9 9,Neutral
891,622,9,10,7,7,6,2,8,4,9 10 7 7 6 2 8 4,Neutral
892,103,9,6,4,6,1,3,10,6,9 6 4 6 1 3 10 6,Neutral
893,464,5,4,8,6,4,10,1,6,5 4 8 6 4 10 1 6,Neutral
894,870,10,4,6,3,8,2,3,7,10 4 6 3 8 2 3 7,Neutral
895,351,8,5,8,10,1,9,7,7,8 5 8 10 1 9 7 7,Neutral
896,628,10,10,4,7,1,7,3,9,10 10 4 7 1 7 3 9,Neutral
897,33,8,5,6,1,8,7,7,2,8 5 6 1 8 7 7 2,Neutral
898,972,7,9,4,1,1,2,1,10,7 9 4 1 1 2 1 10,Neutral
899,535,5,10,5,9,9,8,1,9,5 10 5 9 9 8 1 9,Neutral
900,959,8,4,5,5,10,7,3,2,8 4 5 5 10 7 3 2,Neutral
901,794,10,4,4,8,6,8,6,9,10 4 4 8 6 8 6 9,Neutral
902,313,5,7,7,3,7,10,1,1,5 7 7 3 7 10 1 1,Neutral
903,127,5,8,4,9,7,7,7,6,5 8 4 9 7 7 7 6,Neutral
904,245,10,6,4,9,9,2,7,7,10 6 4 9 9 2 7 7,Neutral
905,773,9,5,8,9,1,10,4,8,9 5 8 9 1 10 4 8,Neutral
906,69,8,6,6,1,9,1,9,7,8 6 6 1 9 1 9 7,Neutral
907,141,8,6,6,5,4,9,5,2,8 6 6 5 4 9 5 2,Neutral
908,139,8,3,4,10,6,1,1,5,8 3 4 10 6 1 1 5,Neutral
909,398,6,9,6,10,7,4,5,9,6 9 6 10 7 4 5 9,Neutral
910,889,7,6,8,6,6,6,7,10,7 6 8 6 6 6 7 10,Neutral
911,995,6,7,8,3,7,7,8,7,6 7 8 3 7 7 8 7,Neutral
912,757,9,5,7,9,7,8,9,1,9 5 7 9 7 8 9 1,Neutral
913,783,5,2,8,2,8,5,7,3,5 2 8 2 8 5 7 3,Neutral
914,420,5,8,8,6,2,4,10,3,5 8 8 6 2 4 10 3,Neutral
915,790,7,5,6,2,3,1,6,6,7 5 6 2 3 1 6 6,Neutral
916,592,7,2,7,10,8,9,5,1,7 2 7 10 8 9 5 1,Neutral
917,978,6,5,8,9,6,6,2,9,6 5 8 9 6 6 2 9,Neutral
918,735,6,4,6,1,7,6,1,5,6 4 6 1 7 6 1 5,Neutral
919,731,5,10,6,9,5,10,5,2,5 10 6 9 5 10 5 2,Neutral
920,932,6,6,4,5,5,3,6,1,6 6 4 5 5 3 6 1,Neutral
921,497,6,4,8,4,6,10,1,6,6 4 8 4 6 10 1 6,Neutral
922,813,8,10,5,8,4,7,5,2,8 10 5 8 4 7 5 2,Neutral
923,2,10,2,7,3,10,4,4,7,10 2 7 3 10 4 4 7,Neutral
924,649,9,2,6,10,4,9,4,2,9 2 6 10 4 9 4 2,Neutral
925,455,8,5,4,2,7,4,1,2,8 5 4 2 7 4 1 2,Neutral
926,593,5,3,5,3,9,10,9,9,5 3 5 3 9 10 9 9,Neutral
927,206,10,8,5,4,8,9,10,6,10 8 5 4 8 9 10 6,Neutral
928,847,7,10,5,7,1,9,10,4,7 10 5 7 1 9 10 4,Neutral
929,233,8,7,7,7,9,2,8,2,8 7 7 7 9 2 8 2,Neutral
930,87,5,10,8,4,8,10,1,9,5 10 8 4 8 10 1 9,Neutral
931,333,6,3,7,6,9,9,9,1,6 3 7 6 9 9 9 1,Neutral
932,738,8,2,5,7,2,7,6,5,8 2 5 7 2 7 6 5,Neutral
933,350,5,6,6,1,8,7,10,10,5 6 6 1 8 7 10 10,Neutral
934,805,8,8,7,10,6,2,2,6,8 8 7 10 6 2 2 6,Neutral
935,700,9,8,6,1,9,6,9,1,9 8 6 1 9 6 9 1,Neutral
936,92,7,6,7,3,2,1,7,6,7 6 7 3 2 1 7 6,Neutral
937,68,5,5,8,8,7,6,10,4,5 5 8 8 7 6 10 4,Neutral
938,746,10,5,6,7,1,1,6,1,10 5 6 7 1 1 6 1,Neutral
939,741,7,9,7,3,10,8,10,5,7 9 7 3 10 8 10 5,Neutral
940,581,9,10,8,2,5,6,7,10,9 10 8 2 5 6 7 10,Neutral
941,677,9,6,6,9,1,10,7,1,9 6 6 9 1 10 7 1,Neutral
942,442,7,8,5,10,8,3,6,4,7 8 5 10 8 3 6 4,Neutral
943,749,9,9,5,2,9,1,10,1,9 9 5 2 9 1 10 1,Neutral
944,25,5,6,4,10,4,1,8,3,5 6 4 10 4 1 8 3,Neutral
945,936,6,7,6,4,1,8,4,10,6 7 6 4 1 8 4 10,Neutral
946,90,9,10,6,7,8,1,2,7,9 10 6 7 8 1 2 7,Neutral
947,715,6,9,6,5,9,1,6,6,6 9 6 5 9 1 6 6,Neutral
948,240,9,9,7,10,5,7,1,6,9 9 7 10 5 7 1 6,Neutral
949,13,6,6,6,3,10,7,2,1,6 6 6 3 10 7 2 1,Neutral
950,126,7,4,6,4,1,5,2,1,7 4 6 4 1 5 2 1,Neutral
951,761,5,9,6,10,10,1,10,6,5 9 6 10 10 1 10 6,Neutral
952,302,8,4,6,7,1,4,1,8,8 4 6 7 1 4 1 8,Neutral
953,650,8,4,7,9,10,2,8,3,8 4 7 9 10 2 8 3,Neutral
954,365,10,5,5,3,5,2,3,5,10 5 5 3 5 2 3 5,Neutral
955,905,5,9,6,8,10,2,1,1,5 9 6 8 10 2 1 1,Neutral
956,415,9,3,5,1,8,9,9,2,9 3 5 1 8 9 9 2,Neutral
957,397,10,7,8,6,6,6,2,6,10 7 8 6 6 6 2 6,Neutral
958,435,9,9,7,4,1,1,7,5,9 9 7 4 1 1 7 5,Neutral
959,945,9,3,8,2,4,9,1,1,9 3 8 2 4 9 1 1,Neutral
960,930,8,7,5,1,3,7,2,1,8 7 5 1 3 7 2 1,Neutral
961,687,5,9,7,9,3,1,9,5,5 9 7 9 3 1 9 5,Neutral
962,852,5,10,5,4,3,10,8,6,5 10 5 4 3 10 8 6,Neutral
963,712,6,5,5,7,8,2,9,7,6 5 5 7 8 2 9 7,Neutral
964,470,6,10,6,6,7,1,1,2,6 10 6 6 7 1 1 2,Neutral
965,43,6,5,4,1,10,7,4,1,6 5 4 1 10 7 4 1,Neutral
966,550,5,3,7,8,2,7,7,8,5 3 7 8 2 7 7 8,Neutral
967,844,8,6,4,1,1,8,10,9,8 6 4 1 1 8 10 9,Neutral
968,150,6,5,8,5,2,10,1,6,6 5 8 5 2 10 1 6,Neutral
969,168,6,3,8,2,8,10,7,3,6 3 8 2 8 10 7 3,Neutral
970,519,8,7,7,6,10,10,4,3,8 7 7 6 10 10 4 3,Neutral
971,531,9,8,7,6,3,8,3,7,9 8 7 6 3 8 3 7,Neutral
972,643,9,7,7,7,2,4,3,7,9 7 7 7 2 4 3 7,Neutral
973,428,6,9,4,4,8,6,2,5,6 9 4 4 8 6 2 5,Neutral
974,659,9,4,8,10,6,6,3,8,9 4 8 10 6 6 3 8,Neutral
975,766,10,2,4,3,4,6,9,4,10 2 4 3 4 6 9 4,Neutral
976,732,9,2,6,9,4,2,10,10,9 2 6 9 4 2 10 10,Neutral
977,916,10,4,7,3,10,10,7,8,10 4 7 3 10 10 7 8,Neutral
978,979,9,4,7,10,5,2,4,2,9 4 7 10 5 2 4 2,Neutral
979,372,5,7,7,9,3,5,10,4,5 7 7 9 3 5 10 4,Neutral
980,778,9,4,8,9,8,5,7,4,9 4 8 9 8 5 7 4,Neutral
981,579,10,3,7,8,9,1,8,8,10 3 7 8 9 1 8 8,Neutral
982,320,9,6,7,4,3,9,10,2,9 6 7 4 3 9 10 2,Neutral
983,645,5,9,6,6,8,5,10,8,5 9 6 6 8 5 10 8,Neutral
984,5,6,7,4,2,3,8,10,7,6 7 4 2 3 8 10 7,Neutral
985,294,7,5,4,1,6,2,9,6,7 5 4 1 6 2 9 6,Neutral
986,117,8,2,5,10,5,4,3,2,8 2 5 10 5 4 3 2,Neutral
987,555,9,2,8,7,2,1,3,10,9 2 8 7 2 1 3 10,Neutral
988,29,6,9,5,1,6,10,4,5,6 9 5 1 6 10 4 5,Neutral
989,259,8,3,8,9,7,4,10,7,8 3 8 9 7 4 10 7,Neutral
990,47,8,4,4,9,10,10,2,6,8 4 4 9 10 10 2 6,Neutral
991,678,8,10,5,2,7,4,1,7,8 10 5 2 7 4 1 7,Neutral
992,543,8,2,4,9,3,3,3,4,8 2 4 9 3 3 3 4,Neutral
993,908,5,2,5,3,2,10,4,8,5 2 5 3 2 10 4 8,Neutral
994,586,8,2,4,9,8,8,7,7,8 2 4 9 8 8 7 7,Neutral
995,98,9,9,7,2,3,3,8,4,9 9 7 2 3 3 8 4,Neutral
996,55,8,7,6,2,5,7,7,9,8 7 6 2 5 7 7 9,Neutral
997,913,5,5,6,5,6,7,6,1,5 5 6 5 6 7 6 1,Neutral
998,199,9,5,8,3,8,1,1,2,9 5 8 3 8 1 1 2,Neutral
999,539,10,2,7,4,3,4,10,1,10 2 7 4 3 4 10 1,Neutral
1000,759,7,2,4,2,1,5,9,9,7 2 4 2 1 5 9 9,Neutral
